state,date,ML,High_90,Low_90
Eastern,2020-04-23,2.17,4.55,0.0
Eastern,2020-04-24,1.82,3.49,0.0
Eastern,2020-04-25,1.7,3.06,0.04
Eastern,2020-04-26,1.51,2.7,0.06
Eastern,2020-04-27,1.5,2.62,0.17
Eastern,2020-04-28,1.56,2.65,0.35000000000000003
Eastern,2020-04-29,1.6600000000000001,2.65,0.5
Eastern,2020-04-30,1.7,2.62,0.64
Eastern,2020-05-01,1.72,2.57,0.75
Eastern,2020-05-02,1.69,2.49,0.81
Eastern,2020-05-03,1.56,2.2800000000000002,0.7000000000000001
Eastern,2020-05-04,1.46,2.17,0.68
Eastern,2020-05-05,1.41,2.09,0.67
Eastern,2020-05-06,1.45,2.07,0.71
Eastern,2020-05-07,1.49,2.11,0.8200000000000001
Eastern,2020-05-08,1.54,2.12,0.89
Eastern,2020-05-09,1.56,2.11,0.9400000000000001
Eastern,2020-05-10,1.56,2.08,0.96
Eastern,2020-05-11,1.5,2.0,0.93
Eastern,2020-05-12,1.46,1.94,0.91
Eastern,2020-05-13,1.41,1.87,0.87
Eastern,2020-05-14,1.3900000000000001,1.83,0.86
Eastern,2020-05-15,1.36,1.8,0.86
Eastern,2020-05-16,1.32,1.74,0.8200000000000001
Eastern,2020-05-17,1.27,1.69,0.79
Eastern,2020-05-18,1.23,1.6300000000000001,0.74
Eastern,2020-05-19,1.17,1.57,0.6900000000000001
Eastern,2020-05-20,1.16,1.56,0.6900000000000001
Eastern,2020-05-21,1.2,1.6,0.74
Eastern,2020-05-22,1.28,1.69,0.85
Eastern,2020-05-23,1.34,1.72,0.89
Eastern,2020-05-24,1.3900000000000001,1.76,0.9500000000000001
Eastern,2020-05-25,1.4000000000000001,1.77,0.98
Eastern,2020-05-26,1.43,1.78,1.01
Eastern,2020-05-27,1.44,1.79,1.04
Eastern,2020-05-28,1.46,1.79,1.06
Eastern,2020-05-29,1.48,1.8,1.09
Khayelitsha,2020-04-23,2.45,4.5600000000000005,0.0
Khayelitsha,2020-04-24,2.32,4.0,0.42
Khayelitsha,2020-04-25,2.08,3.44,0.49
Khayelitsha,2020-04-26,1.86,3.0500000000000003,0.52
Khayelitsha,2020-04-27,1.87,2.94,0.6900000000000001
Khayelitsha,2020-04-28,1.85,2.7800000000000002,0.76
Khayelitsha,2020-04-29,1.82,2.69,0.87
Khayelitsha,2020-04-30,1.83,2.6,0.9400000000000001
Khayelitsha,2020-05-01,1.79,2.52,1.0
Khayelitsha,2020-05-02,1.69,2.34,0.92
Khayelitsha,2020-05-03,1.6,2.22,0.89
Khayelitsha,2020-05-04,1.49,2.09,0.8300000000000001
Khayelitsha,2020-05-05,1.44,1.99,0.78
Khayelitsha,2020-05-06,1.3900000000000001,1.94,0.78
Khayelitsha,2020-05-07,1.37,1.8900000000000001,0.77
Khayelitsha,2020-05-08,1.42,1.92,0.84
Khayelitsha,2020-05-09,1.49,2.0,0.97
Khayelitsha,2020-05-10,1.57,2.0300000000000002,1.04
Khayelitsha,2020-05-11,1.57,2.0,1.05
Khayelitsha,2020-05-12,1.55,1.97,1.06
Khayelitsha,2020-05-13,1.52,1.93,1.06
Khayelitsha,2020-05-14,1.49,1.8900000000000001,1.05
Khayelitsha,2020-05-15,1.48,1.85,1.03
Khayelitsha,2020-05-16,1.48,1.84,1.05
Khayelitsha,2020-05-17,1.48,1.83,1.06
Khayelitsha,2020-05-18,1.46,1.8,1.05
